K,n_pca,cov_type,selected_seed,val_ll_per_step,failed,error,val_n_active_states,val_min_state_pct,val_max_state_pct,val_min_avg_dur_wks,val_min_self_trans,val_max_self_trans,s0_val_pct,s0_val_avg_dur_wks,s0_val_n_runs,s0_val_self_trans,s1_val_pct,s1_val_avg_dur_wks,s1_val_n_runs,s1_val_self_trans,s2_val_pct,s2_val_avg_dur_wks,s2_val_n_runs,s2_val_self_trans,s3_val_pct,s3_val_avg_dur_wks,s3_val_n_runs,s3_val_self_trans,dev_n_active_states,dev_min_state_pct,dev_max_state_pct,dev_min_avg_dur_wks,s0_dev_pct,s0_dev_avg_dur_wks,s0_dev_n_runs,s1_dev_pct,s1_dev_avg_dur_wks,s1_dev_n_runs,s2_dev_pct,s2_dev_avg_dur_wks,s2_dev_n_runs,s3_dev_pct,s3_dev_avg_dur_wks,s3_dev_n_runs,filter_collapse,filter_flip_flop,filter_imbalanced,filter_one_shot,filter_k4_redundant,k4_min_profile_dist,passes_hard_filters,score_A_profile_separation,score_B_naming,score_C_temporal,score_D_downstream,interpretability_score,interpretability_tier
2,8,diag,42,-24.672831860701425,False,,2,0.057692307692307696,0.9423076923076923,6.0,0.9750451525510843,0.9869003786066092,0.9423076923076923,49.0,2,0.9869003786066092,0.057692307692307696,6.0,1,0.9750451525510843,,,,,,,,,2,0.12979351032448377,0.8702064896755162,44.0,0.8702064896755162,295.0,1,0.12979351032448377,44.0,1,,,,,,,False,False,True,True,False,,False,0,0,0,0,0,Low
2,8,full,42,-47.19345728459504,False,,2,0.4519230769230769,0.5480769230769231,19.0,0.9923657336542075,1.0,0.5480769230769231,19.0,3,0.9923657336542075,0.4519230769230769,23.5,2,1.0,,,,,,,,,2,0.06489675516224189,0.9351032448377581,22.0,0.9351032448377581,158.5,2,0.06489675516224189,22.0,1,,,,,,,False,False,False,True,False,,False,0,0,0,0,0,Low
2,10,diag,42,-29.94726239682819,False,,2,0.057692307692307696,0.9423076923076923,6.0,0.9750478438491895,0.9868090044384874,0.9423076923076923,49.0,2,0.9868090044384874,0.057692307692307696,6.0,1,0.9750478438491895,,,,,,,,,2,0.13569321533923304,0.8643067846607669,15.333333333333334,0.8643067846607669,97.66666666666667,3,0.13569321533923304,15.333333333333334,3,,,,,,,False,False,True,False,False,,False,0,0,0,0,0,Low
2,10,full,42,-54.20946723042977,False,,2,0.4519230769230769,0.5480769230769231,19.0,0.9923651741000218,1.0,0.5480769230769231,19.0,3,0.9923651741000218,0.4519230769230769,23.5,2,1.0,,,,,,,,,2,0.07079646017699115,0.9292035398230089,24.0,0.9292035398230089,157.5,2,0.07079646017699115,24.0,1,,,,,,,False,False,False,True,False,,False,0,0,0,0,0,Low
2,12,diag,42,-37.03009793641143,False,,2,0.057692307692307696,0.9423076923076923,6.0,0.9751421439967202,0.9868650664339418,0.9423076923076923,49.0,2,0.9868650664339418,0.057692307692307696,6.0,1,0.9751421439967202,,,,,,,,,2,0.1504424778761062,0.8495575221238938,10.2,0.8495575221238938,57.6,5,0.1504424778761062,10.2,5,,,,,,,False,False,True,False,False,,False,0,0,0,0,0,Low
2,12,full,42,-64.94240278705057,False,,2,0.4326923076923077,0.5673076923076923,22.5,0.9923659092475062,1.0,0.4326923076923077,22.5,2,0.9923659092475062,0.5673076923076923,59.0,1,1.0,,,,,,,,,2,0.06489675516224189,0.9351032448377581,22.0,0.9351032448377581,158.5,2,0.06489675516224189,22.0,1,,,,,,,False,False,False,True,False,,False,0,0,0,0,0,Low
2,14,diag,42,-43.929946094040446,False,,2,0.057692307692307696,0.9423076923076923,6.0,0.975088272300131,0.9868668023455556,0.9423076923076923,49.0,2,0.9868668023455556,0.057692307692307696,6.0,1,0.975088272300131,,,,,,,,,2,0.1504424778761062,0.8495575221238938,10.2,0.8495575221238938,57.6,5,0.1504424778761062,10.2,5,,,,,,,False,False,True,False,False,,False,0,0,0,0,0,Low
2,14,full,7,-72.07935661587871,False,,2,0.4230769230769231,0.5769230769230769,22.0,0.9923664086401416,1.0,0.4230769230769231,22.0,2,0.9923664086401416,0.5769230769230769,60.0,1,1.0,,,,,,,,,2,0.06784660766961652,0.9321533923303835,23.0,0.06784660766961652,23.0,1,0.9321533923303835,158.0,2,,,,,,,False,False,False,True,False,,False,0,0,0,0,0,Low
3,8,diag,42,-24.682715190735944,False,,3,0.019230769230769232,0.9615384615384616,1.0,3.4218826487792605e-22,0.9869294759467457,0.019230769230769232,1.0,2,7.752778363644089e-21,0.019230769230769232,1.0,2,3.4218826487792605e-22,0.9615384615384616,50.0,2.0,0.9869294759467457,,,,,3,0.12979351032448377,0.5368731563421829,14.125,0.5368731563421829,20.22222222222222,9,0.3333333333333333,14.125,8,0.12979351032448377,44.0,1.0,,,,True,True,True,True,False,,False,0,0,0,0,0,Low
3,8,full,42,-27.93740681543278,False,,3,0.2980769230769231,0.36538461538461536,1.0,8.723078639134487e-07,0.9177112441939341,0.2980769230769231,1.0,31,0.013888141552927055,0.36538461538461536,1.0,38,8.723078639134487e-07,0.33653846153846156,5.833333333333333,6.0,0.9177112441939341,,,,,3,0.12979351032448377,0.4365781710914454,1.0808823529411764,0.4365781710914454,1.088235294117647,136,0.4336283185840708,1.0808823529411764,136,0.12979351032448377,44.0,1.0,,,,False,True,False,True,False,,False,0,0,0,0,0,Low
3,10,diag,42,-29.956267185117348,False,,3,0.028846153846153848,0.9326923076923077,1.0,5.301187768750503e-09,0.9866522108079016,0.038461538461538464,1.0,4,1.0974431326931553e-07,0.028846153846153848,1.0,3,5.301187768750503e-09,0.9326923076923077,48.5,2.0,0.9866522108079016,,,,,3,0.13569321533923304,0.4336283185840708,1.0,0.4336283185840708,1.0,147,0.4306784660766962,1.0,146,0.13569321533923304,15.333333333333334,3.0,,,,True,True,True,False,False,,False,0,0,0,0,0,Low
3,10,full,42,-33.667545946803415,False,,3,0.25,0.4807692307692308,1.0833333333333333,0.024328996617274994,0.9281065907372711,0.25,1.0833333333333333,24,0.054394068485857414,0.2692307692307692,1.12,25,0.024328996617274994,0.4807692307692308,10.0,5.0,0.9281065907372711,,,,,3,0.07079646017699115,0.46607669616519176,1.0,0.4631268436578171,1.0,157,0.46607669616519176,1.0,158,0.07079646017699115,24.0,1.0,,,,False,True,False,True,False,,False,0,0,0,0,0,Low
3,12,diag,168,-37.00804566396983,False,,3,0.028846153846153848,0.9423076923076923,1.5,0.909340287576223,0.9746146081595045,0.028846153846153848,3.0,1,0.9746146081595045,0.028846153846153848,1.5,2,0.9411993189019445,0.9423076923076923,49.0,2.0,0.909340287576223,,,,,3,0.058997050147492625,0.6135693215339233,15.857142857142858,0.3274336283185841,15.857142857142858,7,0.058997050147492625,20.0,1,0.6135693215339233,23.11111111111111,9.0,,,,True,True,True,True,False,,False,0,0,0,0,0,Low
3,12,full,42,-43.62292652851473,False,,3,0.22115384615384615,0.5576923076923077,1.0,2.1580537325132772e-07,0.8953081495894568,0.22115384615384615,1.0,23,2.1580537325132772e-07,0.5576923076923077,2.4166666666666665,24,0.38235581680838054,0.22115384615384615,4.6,5.0,0.8953081495894568,,,,,3,0.06489675516224189,0.6784660766961652,22.0,0.6784660766961652,230.0,1,0.25663716814159293,29.0,3,0.06489675516224189,22.0,1.0,,,,False,True,False,True,False,,False,0,0,0,0,0,Low
3,14,diag,7,-43.51478050141069,False,,3,0.028846153846153848,0.5,1.5,0.8628134729435889,0.9801994351345819,0.028846153846153848,1.5,2,0.931272008221694,0.5,26.0,2,0.9801994351345819,0.47115384615384615,16.333333333333332,3.0,0.8628134729435889,,,,,3,0.11799410029498525,0.45427728613569324,8.0,0.45427728613569324,77.0,2,0.11799410029498525,8.0,5,0.4277286135693215,29.0,5.0,,,,True,True,False,False,False,,False,0,0,0,0,0,Low
3,14,full,42,-52.55982943661927,False,,3,0.2980769230769231,0.3557692307692308,1.0,1.6565774735015696e-56,0.8982914130135375,0.34615384615384615,1.0,36,1.6565774735015696e-56,0.3557692307692308,1.0,37,2.0264683045472355e-49,0.2980769230769231,4.428571428571429,7.0,0.8982914130135375,,,,,3,0.061946902654867256,0.4778761061946903,1.0196078431372548,0.46017699115044247,1.0196078431372548,153,0.4778761061946903,1.051948051948052,154,0.061946902654867256,21.0,1.0,,,,False,True,False,True,False,,False,0,0,0,0,0,Low
4,8,diag,21,-24.86317637062746,False,,3,0.0,0.8365384615384616,3.0,0.904216219036019,0.9821581023166563,0.1346153846153846,4.666666666666667,3,0.9408085678266138,0.0,0.0,0,0.9821581023166563,0.8365384615384616,29.0,3.0,0.904216219036019,0.028846153846153848,3.0,1.0,0.953208663783313,4,0.02654867256637168,0.4808259587020649,9.0,0.02654867256637168,9.0,1,0.45132743362831856,76.5,2,0.4808259587020649,163.0,1.0,0.04129793510324484,14.0,1.0,True,False,False,True,True,0.23714172054269833,False,0,0,0,0,0,Low
4,8,full,84,-36.34613720951296,False,,4,0.009615384615384616,0.7115384615384616,1.0,0.12321750271057172,0.939634555356152,0.0673076923076923,1.75,4,0.12321750271057172,0.009615384615384616,1.0,1,0.5961581178584807,0.21153846153846154,11.0,2.0,0.939634555356152,0.7115384615384616,18.5,4.0,0.8642883552411597,4,0.011799410029498525,0.46607669616519176,1.0,0.46607669616519176,1.0063694267515924,157,0.4631268436578171,1.0,157,0.011799410029498525,4.0,1.0,0.058997050147492625,20.0,1.0,True,True,False,True,True,0.019127576700129094,False,0,0,0,0,0,Low
4,10,diag,21,-30.274817999591352,False,,3,0.0,0.8365384615384616,3.0,0.904666807713651,0.9798299918774056,0.0,0.0,0,0.9798299918774056,0.8365384615384616,29.0,3,0.904666807713651,0.1346153846153846,4.666666666666667,3.0,0.9402871111174647,0.028846153846153848,3.0,1.0,0.9339234686612946,4,0.05604719764011799,0.3864306784660767,4.933333333333334,0.2182890855457227,4.933333333333334,15,0.3392330383480826,12.777777777777779,9,0.3864306784660767,18.714285714285715,7.0,0.05604719764011799,19.0,1.0,True,False,False,True,True,0.48147897849330623,False,0,0,0,0,0,Low
4,10,full,84,-35.82286981088492,False,,4,0.057692307692307696,0.4326923076923077,1.0,1.3443475924148948e-12,0.8963995774144525,0.4230769230769231,8.8,5,0.8963995774144525,0.4326923076923077,6.428571428571429,7,0.746179000391601,0.08653846153846154,1.0,9.0,1.3443475924148948e-12,0.057692307692307696,3.0,2.0,0.8061220925828193,4,0.014749262536873156,0.45722713864306785,5.0,0.45722713864306785,51.666666666666664,3,0.41297935103244837,35.0,4,0.11504424778761062,39.0,1.0,0.014749262536873156,5.0,1.0,False,True,False,True,True,0.4995546339071976,False,0,0,0,0,0,Low
4,12,diag,42,-37.10776058280042,False,,4,0.009615384615384616,0.49038461538461536,1.0,0.8810895088028671,0.9799495595522809,0.49038461538461536,25.5,2,0.9799495595522809,0.47115384615384615,16.333333333333332,3,0.8810895088028671,0.028846153846153848,1.5,2.0,0.9303607261100412,0.009615384615384616,1.0,1.0,0.9444243970305517,4,0.02654867256637168,0.4778761061946903,9.0,0.4778761061946903,16.2,10,0.04129793510324484,14.0,1,0.02654867256637168,9.0,1.0,0.45427728613569324,14.0,11.0,True,True,False,True,True,0.5921376062927856,False,0,0,0,0,0,Low
4,12,full,21,-48.67521884560876,False,,4,0.0673076923076923,0.38461538461538464,2.2222222222222223,0.07281319208665514,0.968981768447976,0.0673076923076923,2.3333333333333335,3,0.8458308328545285,0.19230769230769232,2.2222222222222223,9,0.4882288609886713,0.38461538461538464,8.0,5.0,0.968981768447976,0.3557692307692308,2.3125,16.0,0.07281319208665514,4,0.02654867256637168,0.6106194690265486,9.0,0.25958702064896755,22.0,4,0.6106194690265486,51.75,4,0.02654867256637168,9.0,1.0,0.10324483775811209,35.0,1.0,False,False,False,True,True,0.2541586159646601,False,0,0,0,0,0,Low
4,14,diag,84,-43.753990978953695,False,,2,0.0,0.9903846153846154,1.0,0.20406421605278321,0.9373881813479047,0.009615384615384616,1.0,1,0.9373881813479047,0.0,0.0,0,0.20406421605278321,0.9903846153846154,103.0,1.0,0.9150261139572147,0.0,0.0,0.0,0.5323095027916315,4,0.0471976401179941,0.5457227138643068,15.714285714285714,0.5457227138643068,23.125,8,0.32448377581120946,15.714285714285714,7,0.08259587020648967,28.0,1.0,0.0471976401179941,16.0,1.0,True,True,True,True,True,0.6459759453464116,False,0,0,0,0,0,Low
4,14,full,21,-59.18475318668042,False,,4,0.10576923076923077,0.4230769230769231,1.0,5.113221721189092e-34,0.958649579990203,0.10576923076923077,2.75,4,0.8156308507649043,0.27884615384615385,2.0714285714285716,14,0.6097756661271256,0.4230769230769231,7.333333333333333,6.0,0.958649579990203,0.19230769230769232,1.0,20.0,5.113221721189092e-34,4,0.02654867256637168,0.4837758112094395,2.9444444444444446,0.3333333333333333,6.277777777777778,18,0.4837758112094395,164.0,1,0.15634218289085547,2.9444444444444446,18.0,0.02654867256637168,9.0,1.0,False,True,False,True,True,0.14272714491054644,False,0,0,0,0,0,Low
